corridor_id,observation_time,route_zone,avg_speed_kmh,delay_minutes,congestion_level,data_origin
TRF-CORR-Zone-A,2026-09-24 13:00:00,Zone-A,45.4,4.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 13:00:00,Zone-B,46.4,3.4,low,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 13:00:00,Zone-C,51.7,4.4,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 13:00:00,Zone-D,49.5,3.5,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 13:00:00,Zone-E,45.2,3.3,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 13:00:00,Zone-F,48.7,4.6,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 13:05:00,Zone-A,50.5,4.3,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 13:05:00,Zone-B,49.3,2.5,low,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 13:05:00,Zone-C,53.5,4.5,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 13:05:00,Zone-D,48.8,2.3,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 13:05:00,Zone-E,50.1,3.5,low,Demo data — simulated civic feeds
TRF-CORR-Zone-F,2026-09-24 13:05:00,Zone-F,52.7,3.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-A,2026-09-24 13:10:00,Zone-A,50.1,3.7,low,Demo data — simulated civic feeds
TRF-CORR-Zone-B,2026-09-24 13:10:00,Zone-B,48.8,2.1,low,Demo data — simulated civic feeds
TRF-CORR-Zone-C,2026-09-24 13:10:00,Zone-C,45.6,4.8,low,Demo data — simulated civic feeds
TRF-CORR-Zone-D,2026-09-24 13:10:00,Zone-D,53.4,2.9,low,Demo data — simulated civic feeds
TRF-CORR-Zone-E,2026-09-24 13:10:00,Zone-E,53.9,3.6,low,Demo data — simulated civic feeds
